merperson: medium skin tone |1f3fd
merperson: medium-dark skin tone |1f3fe
merperson: dark skin tone |1f3ff
mermaid |fe0f
mermaid: light skin tone |fe0f
mermaid: medium-light skin tone |fe0f
mermaid: medium skin tone |fe0f
mermaid: medium-dark skin tone |fe0f
mermaid: dark skin tone |fe0f
merman |fe0f
merman: light skin tone |fe0f
merman: medium-light skin tone |fe0f
merman: medium skin tone |fe0f
merman: medium-dark skin tone |fe0f
merman: dark skin tone |fe0f
elf |1f9dd
elf: light skin tone |1f3fb
elf: medium-light skin tone |1f3fc
elf: medium skin tone |1f3fd
elf: medium-dark skin tone |1f3fe
elf: dark skin tone |1f3ff
woman elf |fe0f
woman elf: light skin tone |fe0f
woman elf: medium-light skin tone |fe0f
woman elf: medium skin tone |fe0f
woman elf: medium-dark skin tone |fe0f
woman elf: dark skin tone |fe0f
man elf |fe0f
man elf: light skin tone |fe0f
man elf: medium-light skin tone |fe0f
man elf: medium skin tone |fe0f
man elf: medium-dark skin tone |fe0f
man elf: dark skin tone |fe0f
genie |1f9de
woman genie |fe0f
man genie |fe0f
zombie |1f9df
woman zombie |fe0f
man zombie |fe0f
person frowning |1f64d
person frowning: light skin tone |1f3fb
person frowning: medium-light skin tone |1f3fc
person frowning: medium skin tone |1f3fd
person frowning: medium-dark skin tone |1f3fe
person frowning: dark skin tone |1f3ff
man frowning |fe0f
man frowning: light skin tone |fe0f
man frowning: medium-light skin tone |fe0f
man frowning: medium skin tone |fe0f
man frowning: medium-dark skin tone |fe0f
man frowning: dark skin tone |fe0f
woman frowning |fe0f
woman frowning: light skin tone |fe0f
woman frowning: medium-light skin tone |fe0f
woman frowning: medium skin tone |fe0f
woman frowning: medium-dark skin tone |fe0f
woman frowning: dark skin tone |fe0f
person pouting |1f64e
person pouting: light skin tone |1f3fb
person pouting: medium-light skin tone |1f3fc
person pouting: medium skin tone |1f3fd
person pouting: medium-dark skin tone |1f3fe
person pouting: dark skin tone |1f3ff
man pouting |fe0f
man pouting: light skin tone |fe0f
man pouting: medium-light skin tone |fe0f
man pouting: medium skin tone |fe0f
man pouting: medium-dark skin tone |fe0f
man pouting: dark skin tone |fe0f
woman pouting |fe0f
woman pouting: light skin tone |fe0f
woman pouting: medium-light skin tone |fe0f
woman pouting: medium skin tone |fe0f
woman pouting: medium-dark skin tone |fe0f
woman pouting: dark skin tone |fe0f
person gesturing NO |1f645
person gesturing NO: light skin tone |1f3fb
person gesturing NO: medium-light skin tone |1f3fc
person gesturing NO: medium skin tone |1f3fd
person gesturing NO: medium-dark skin tone |1f3fe
person gesturing NO: dark skin tone |1f3ff
man gesturing NO |fe0f
man gesturing NO: light skin tone |fe0f
man gesturing NO: medium-light skin tone |fe0f
man gesturing NO: medium skin tone |fe0f
man gesturing NO: medium-dark skin tone |fe0f
man gesturing NO: dark skin tone |fe0f
woman gesturing NO |fe0f
woman gesturing NO: light skin tone |fe0f
